"id","no","province","district","village_name","latitude","longitude","area_square_meter","hectares","shape_length","population"
2584,24579,"Nimroz","Kang","Balooch","31.189220","61.842500","1249.98218600","124998.21860000","2.32837591",3237
2599,30037,"Zabul","Daychopan","Baluch Khune","32.462150","66.670550","1645.70107900","164570.10790000","2.68813943",16052
2606,24642,"Nimroz","Zaranj","Baluchkhan","30.894290","61.823600","754.75205360","75475.20536000","1.56277465",28640
2616,1146,"Badakhshan","Raghistan","Bamestan","37.654980","70.462540","1276.03790400","127603.79040000","2.18841382",23145
2626,15547,"Hirat","Pashtun Zarghun","Band Abad","34.234000","62.716710","1907.34956900","190734.95690000","2.23969538",19661
2636,17248,"Kandahar","Arghistan","Bandaki","31.755400","66.452790","3908.88030100","390888.03010000","3.54865906",30909
2649,8532,"Faryab","Kohistan","Bandar-i-Abdulbaqi (2)","35.359600","64.561800","2254.04470700","225404.47070000","2.94355907",12704
2658,5729,"Bamyan","Yakawlang","Bande Amir","34.820710","67.192120","6704.06481900","670406.48190000","4.56271540",16544
2671,20007,"Kunar","Dangam","Bande Kac","34.988930","71.325050","196.99852640","19699.85264000","0.74309050",11335
2698,28,"Badakhshan","Arghanj Khaw","Banew","37.198770","70.760720","611.52049730","61152.04973000","1.46097381",22558
2725,23813,"Nangarhar","Kama","Banjani","34.422890","70.614870","235.82440890","23582.44089000","0.76686007",15072
2733,30981,"Zabul","Shinkay","Bao Kala","31.984890","67.053390","2269.03463400","226903.46340000","2.76829660",32117
2744,25956,"Paktya","Ali Khail (Jaji)","Bar Ali-sangi","33.986290","69.796690","606.28276970","60628.27697000","1.56014163",14689
2754,16920,"Kabul","Surobi","Bar Bahlolkhel","34.681500","69.797790","1251.45297200","125145.29720000","2.31110126",33984
2762,26359,"Paktya","Zurmat","Bar Deray","33.372800","69.065700","1421.38646100","142138.64610000","1.84491038",1624
2775,23902,"Nangarhar","Khogayani","Bar Kalakhel","34.274890","70.200590","655.00831890","65500.83189000","1.61419339",1671
2782,21222,"Laghman","Qarghayi","Bar Kashmund","34.667620","70.480090","956.79783450","95679.78345000","1.76341491",39070
2792,17352,"Kandahar","Ghorak","Bar Lakhchak","32.028100","65.395290","1503.59390800","150359.39080000","1.99839776",20926
2802,26012,"Paktya","Chamkani","Bar Nargesay","33.831700","69.865590","298.57269470","29857.26947000","0.89466929",34242
2811,23833,"Nangarhar","Kama","Bar Shilam","34.438470","70.618220","235.82440890","23582.44089000","0.76686007",26010
2820,16347,"Kabul","Dih Sabz","Bara Awdara","34.714790","69.357700","466.25503320","46625.50332000","1.01978932",14124
2831,20143,"Kunar","Khas Kunar","Bara Sapara","34.571910","70.906120","365.88482180","36588.48218000","1.01811128",5412
2843,8792,"Faryab","Qaysar","Baraghan-i-Khwaja","35.653690","64.353550","2502.48809700","250248.80970000","2.87578967",2663
2856,11053,"Ghazni","Qarabagh","Barakdinkhel","33.093690","68.095400","1570.02690400","157002.69040000","2.02625370",13903
2874,10221,"Ghazni","Malistan","Baraki (2)","33.282760","67.374310","1763.78455200","176378.45520000","3.00602641",5982
2885,6014,"Daykundi","Gizab","Baramba","33.430790","66.653690","3636.41197800","363641.19780000","4.66451720",28803
2893,13806,"Hilmand","Lashkar Gah","Baranay","31.624790","64.545900","997.82525940","99782.52594000","1.53533163",19015
2904,19505,"Khost","Mando Zayi","Barankhel (1)","33.307300","69.828990","122.23521340","12223.52134000","0.52107359",963
2134,18662,"Kandahar","Spin Boldak","Badurzay","31.079890","66.168300","5644.20076100","564420.07610000","3.50349977",5139
2139,15428,"Hirat","Obe","Bagal","34.310590","63.095410","2634.48798300","263448.79830000","2.76860400",26664
2180,7284,"Daykundi","Shahristan","Baghak (1)","33.752570","66.342170","1963.34655500","196334.65550000","2.89261492",27726
2190,29637,"Uruzgan","Shahidi Hassas","Baghakhi","33.055150","65.460490","1828.15740300","182815.74030000","2.32599911",10193
2210,14616,"Hirat","Farsi","Baghane Sufi Abdurrahman","33.881200","63.443900","2009.32712700","200932.71270000","2.43529755",23917
2222,15221,"Hirat","Koshk","Baghcha-i-Mirza Ghulam Mohammad","34.759690","62.244090","2909.98550700","290998.55070000","2.78816264",18151
2230,16767,"Kabul","Qarabagh","Baghe Alam","34.878280","69.219580","209.09005820","20909.00582000","0.83642706",2396
2237,27266,"Parwan","Sia Gird ( Ghorbund)","Baghe Kham","34.990010","68.725200","898.56295820","89856.29582000","1.49891603",35475
